slug,language,image_source,colliding_query,repeat_count,affected_headings,cause
tokyo-best-restaurants-ko,ko,본문 섹션(###) 이미지 캐러셀,Tokyo culture tradition,2,도쿄 식문화의 특징 | 예약 및 줄서기 문화,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
osaka-dotonbori-guide-en,en,본문 섹션(###) 이미지 캐러셀,Osaka local market,2,Budget Eating Tips for Dotonbori | Money and Payments,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
singapore-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Singapore shopping market,2,Supermarkets and Convenience Stores | Bugis Street Market,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
istanbul-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Istanbul food cuisine,2,The Role of Geography in Istanbul's Food | Food Tours and Cooking Classes,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
istanbul-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Istanbul restaurant,2,Neighborhood Dining Cultures | Pandeli Restaurant,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
istanbul-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Istanbul culture tradition,2,Meze and Rakı Culture | Turkish Tea Culture,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-surfing-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bali city street,2,Certification and Safety Standards | Ocean Safety Tips,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-shibuya-guide-en,en,본문 섹션(###) 이미지 캐러셀,Shibuya Tokyo,2,Shibuya 109 | Shibuya's Live Music Scene,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
busan-haeundae-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,부산 metro subway,2,지하철 이용 | 버스 및 택시 이용,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-japan-travel-guide-complete,ko,본문 섹션(###) 이미지 캐러셀,Kyoto food cuisine,2,🍣 가이세키 요리 (懐石料理) | 🥢 니시키 시장 먹거리,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-cherry-blossom-ko,ko,본문 섹션(###) 이미지 캐러셀,Tokyo temple shrine,2,개화 시기와 절정 시기 | 야스쿠니 신사 (靖国神社),itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
okinawa-japan-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Okinawa travel,2,식당 이용 팁 | 필수 준비물과 주의 사항,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
cebu-philippines-travel-guide-for-koreans-2024,ko,본문 섹션(###) 이미지 캐러셀,Cebu nature park,2,오스메냐 피크와 산악 트레킹 | 산토니뇨 성당과 마젤란 십자가,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
boracay-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Boracay food cuisine,2,현지 필리핀 음식 | 한국 식당과 음식 환경,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
manila-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Manila transportation,2,시내 주요 교통수단 | 이동 시 주의사항,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taichung-taiwan-travel-guide-korean,ko,본문 섹션(###) 이미지 캐러셀,Taichung shopping market,2,펑지아 야시장 (逢甲夜市) | 쇼핑 명소,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taipei-shopping-guide-ko,ko,추천 장소(PlaceCard) 카드 이미지,https://images.unsplash.com/photo-1598935898639-81586f7d2129,3,타이베이 101 쇼핑몰 | 스린 야시장(士林夜市) | 라오허제 야시장(饒河街觀光夜市),"PlaceCard가 장소별로 독립적으로 fetchUnsplashPhoto(per_page=1) 호출, 페이지 내 카드 간 중복 방지(usedUrls) 없음 → 실측 재현 확인 (curl로 직접 검증)"
